,apparentTemperatureHigh,apparentTemperatureLow,apparentTemperatureMax,apparentTemperatureMin,cloudCover,date,dewPoint,humidity,lat,long,moonPhase,ozone,pressure,temperatureHigh,temperatureLow,temperatureMax,temperatureMin,uvIndex,visibility,windBearing,windGust,windSpeed
0,41.44,31.18,41.44,33.98,0.75,2019-12-13,37.72,0.93,47.0,-122.0,0.57,352.8,1019.2,43.54,34.12,43.54,37.29,1.0,7.337,204.0,19.57,4.01
1,38.6,33.98,38.82,33.76,0.83,2019-12-12,39.77,0.95,47.0,-122.0,0.53,338.3,1014.9,42.94,38.22,44.33,38.82,1.0,5.747,197.0,26.59,7.33
2,45.0,36.1,45.0,34.75,0.84,2019-12-11,39.42,0.9,47.0,-122.0,0.5,329.7,1015.4,48.39,40.37,48.39,37.1,1.0,8.478,165.0,25.92,5.04
3,44.02,34.75,44.02,31.25,0.88,2019-12-10,35.02,0.82,47.0,-122.0,0.47,326.3,1020.7,46.39,37.1,46.39,34.57,1.0,7.865,143.0,9.12,3.74
4,42.7,31.25,42.7,31.05,0.44,2019-12-09,35.7,0.89,47.0,-122.0,0.43,328.8,1023.1,43.39,34.57,43.39,33.87,1.0,8.759,133.0,5.73,3.15
5,44.44,31.05,44.44,37.81,0.85,2019-12-08,41.79,0.95,47.0,-122.0,0.4,362.8,1018.3,46.53,33.87,46.53,39.28,1.0,4.552,348.0,8.9,3.13
6,49.05,42.03,49.05,40.02,0.9,2019-12-07,42.95,0.93,47.0,-122.0,0.37,393.5,1008.4,49.53,41.45,49.53,42.79,1.0,7.988,148.0,13.79,3.06
7,54.31,40.02,54.31,38.02,0.83,2019-12-06,40.5,0.81,47.0,-122.0,0.34,369.5,1012.7,54.81,42.79,54.81,40.56,1.0,9.441,132.0,7.57,4.47
8,51.24,38.02,51.24,38.89,0.8,2019-12-05,41.74,0.9,47.0,-122.0,0.31,350.2,1016.2,51.68,40.56,51.68,40.29,1.0,8.094,133.0,5.67,3.25
9,49.24,38.89,49.24,43.57,0.85,2019-12-04,44.37,0.94,47.0,-122.0,0.28,345.9,1012.9,50.48,40.29,50.48,43.08,1.0,8.35,155.0,8.63,2.97
10,51.19,43.73,51.19,39.2,0.62,2019-12-03,40.94,0.82,47.0,-122.0,0.25,315.1,1019.5,51.62,44.97,51.62,41.69,1.0,10.0,161.0,10.19,4.37
11,49.64,39.2,49.64,35.92,0.64,2019-12-02,39.41,0.87,47.0,-122.0,0.22,345.0,1020.2,50.14,41.69,50.14,37.74,1.0,9.371,162.0,6.53,3.28
12,41.68,34.94,41.68,24.12,0.78,2019-12-01,31.76,0.8,47.0,-122.0,0.19,391.0,1014.4,44.52,37.74,44.52,30.22,1.0,9.916,100.0,13.58,5.47
13,39.54,24.12,39.54,19.29,0.12,2019-11-30,19.95,0.61,47.0,-122.0,0.16,417.3,1017.0,41.5,30.22,41.5,24.57,1.0,10.0,119.0,17.48,5.68
14,35.51,19.29,35.51,19.03,0.02,2019-11-29,21.87,0.73,47.0,-122.0,0.12,399.7,1012.2,38.14,24.57,38.14,23.57,1.0,10.0,140.0,6.1,3.34
15,37.23,19.03,37.23,20.87,0.16,2019-11-28,21.01,0.64,47.0,-122.0,0.09,394.9,1011.7,40.37,23.57,40.37,26.93,1.0,10.0,129.0,18.52,4.64
16,30.57,20.87,30.57,22.37,0.58,2019-11-27,17.54,0.5,47.0,-122.0,0.06,406.6,1001.7,39.27,26.93,39.27,31.06,1.0,10.0,85.0,44.14,13.74
17,35.32,22.37,35.32,23.75,0.83,2019-11-26,26.99,0.76,47.0,-122.0,0.02,404.5,1008.6,40.29,32.22,40.29,30.86,1.0,9.905,90.0,43.01,6.71
18,40.12,28.29,40.12,33.27,0.72,2019-11-25,35.02,0.92,47.0,-122.0,0.98,376.5,1021.2,40.63,30.86,40.63,32.78,1.0,6.417,285.0,13.71,2.89
19,43.97,34.56,43.97,35.47,0.72,2019-11-24,40.13,0.91,47.0,-122.0,0.95,312.1,1024.0,46.9,37.15,47.75,38.62,1.0,8.425,207.0,26.32,5.42
20,46.92,38.63,46.92,31.27,0.59,2019-11-23,32.95,0.71,47.0,-122.0,0.91,284.6,1025.1,48.55,40.58,48.55,33.78,1.0,9.914,174.0,20.89,4.7
21,45.15,31.27,45.15,28.32,0.15,2019-11-22,29.82,0.74,47.0,-122.0,0.87,299.6,1023.8,45.67,33.78,45.67,31.75,1.0,9.811,153.0,4.88,2.91
22,49.28,28.32,49.28,28.79,0.16,2019-11-21,30.83,0.73,47.0,-122.0,0.84,295.8,1015.8,49.78,31.75,49.78,33.36,1.0,9.178,133.0,7.24,3.53
23,44.66,28.79,44.66,30.28,0.27,2019-11-20,34.66,0.82,47.0,-122.0,0.8,312.1,1019.2,48.15,33.36,48.15,33.67,1.0,8.579,66.0,11.52,4.81
24,43.11,30.28,43.53,39.25,0.83,2019-11-19,42.52,0.97,47.0,-122.0,0.76,330.9,1011.1,43.8,33.67,46.01,41.03,1.0,6.164,328.0,17.94,4.26
25,56.26,41.15,56.26,38.64,0.85,2019-11-18,42.46,0.86,47.0,-122.0,0.73,283.8,1012.2,56.66,42.36,56.66,41.16,1.0,9.448,165.0,21.17,4.44
26,57.13,38.64,57.13,44.9,0.81,2019-11-17,49.37,0.91,47.0,-122.0,0.69,253.1,1020.8,57.63,41.16,57.63,46.5,1.0,8.837,186.0,29.16,6.13
27,51.0,46.73,51.19,36.61,0.79,2019-11-16,43.06,0.89,47.0,-122.0,0.65,253.9,1025.2,51.46,48.25,51.69,38.48,2.0,9.974,147.0,16.96,3.83
28,51.03,36.61,51.03,42.54,0.76,2019-11-15,44.65,0.9,47.0,-122.0,0.62,274.0,1020.4,51.31,38.48,51.31,44.18,1.0,9.053,193.0,25.05,5.74
